# Bangla word list for Amader Bangla Keyboard.
# Derived from the Google language-resources (bn) lexicon,
# https://github.com/google/language-resources  (CC BY 4.0).
# Format: bangla<TAB>freq
অজানার	10
অজান্তে	10
অজান্তেই	9
অজি	12
অজিত	11
অজীর্ণ	10
অজু	12
অজুর	11
অজুহাত	10
অজুহাতে	10
অজৈব	11
অজ্ঞ	11
অজ্ঞতা	10
অজ্ঞতার	9
অজ্ঞাত	10
অজ্ঞাতনামা	8
অজ্ঞাতসারে	8
অজ্ঞাতে	10
অজ্ঞান	10
অজ্ঞানতা	9
অজ্ঞানপার্টি	7
অজ্ঞানপার্টির	6
অঝোর	11
অঝোরে	11
অঞ্চল	10
অঞ্চলই	9
অঞ্চলও	9
অঞ্চলকে	9
অঞ্চলগুলো	8
অঞ্চলগুলোতে	7
অঞ্চলগুলোর	7
অঞ্চলটি	9
অঞ্চলটিকে	8
অঞ্চলটিতে	8
অঞ্চলটির	8
অঞ্চলভিত্তিক	6
অঞ্চলভেদে	8
অঞ্চলসহ	8
অঞ্চলে	10
অঞ্চলেই	9
অঞ্চলেও	9
অঞ্চলের	9
অঞ্জন	10
অঞ্জনস	9
অঞ্জনা	10
অঞ্জনের	9
অঞ্জলি	10
অঞ্জলির	9
অঞ্জলী	10
অঞ্জু	11
অটবি	11
অটবির	10
অটল	11
অটলবিহারী	8
অটাম	11
অটিজম	10
অটিজমে	10
অটিজমের	9
অটিস্টিক	9
অটুট	11
অটো	12
অটোইমিউন	8
অটোগ্রাফ	9
অটোগ্রাফের	8
অটোচালক	9
অটোচালকের	8
অটোতে	11
অটোফোকাস	9
অটোবাইক	9
অটোমান	10
অটোমেটিক	9
অটোমেটেড	9
অটোমেশন	9
অটোমোটিভ	9
অটোমোবাইল	8
অটোমোবাইলস	7
অটোয়া	11
অটোর	11
অটোরিকশা	9
অটোরিকশাকে	8
অটোরিকশাচালক	6
অটোরিকশাটি	8
অটোরিকশাটিকে	7
অটোরিকশার	8
অটোরিকশাসহ	7
অটোরিক্সা	9
অটোরিক্সার	8
অটোস	11
অট্টহাসি	9
অট্টহাসিতে	8
অট্টালিকা	9
অট্টালিকার	8
অডি	12
অডিও	11
অডিওতে	10
অডিওর	10
অডিট	11
অডিটর	10
অডিশন	10
অডিশনের	9
অঢেল	11
অণু	12
অণুজীব	10
অণুবীক্ষণ	8
অণুর	11
অণ্ডকোষ	9
অত	12
অতএব	10
অতঃপর	10
অতটা	11
অতনু	11
অতন্দ্র	9
অতপর	10
অতর্কিত	9
